latitude, longitude, location
53.5235517,-113.6157067,"858-8882 170 Street NW, Edmonton, AB T5T 4J2"
53.48351,-113.51589,"5015 111 Street NW, Edmonton, AB T6H 4M6"
53.5992847,-113.4878347,"1082-9499 137 Avenue NW, Edmonton, AB T5E 5R8"
53.5614249,-113.5032904,"5F-1 Kingsway Garden Mall, Edmonton, AB T5G 3A6"
53.5182321,-113.4563691,"172-8330 82 Ave NW, Edmonton, AB T6C 4E3"
53.54124,-113.49509,"265-10150 Jasper Ave NW, Edmonton, AB T5J 1W4"
53.5409361,-113.6445403,"18571 Stony Plain Rd NW, Edmonton, AB T5S 2X6"
53.54411,-113.49366,"101 St NW, Edmonton, AB T5J 3P4"
53.44535,-113.4895,"1731 102 St NW, Edmonton, AB T6N 0B1"
53.59122,-113.41771,"13018 50 St NW, Edmonton, AB T5A 4V9"
53.5259683,-113.4431149,"9006 75 St NW, Edmonton, AB T6C 2H4"
53.42444,-113.46215,"8403 Ellerslie Rd SW, Edmonton, AB T6X 1A3"
53.62921,-113.54403,"12736 167 Ave NW, Edmonton, AB T6V 1J5"
53.54078,-113.58058,"15053 Stony Plain Rd NW, Edmonton, AB T5P 4W1"
53.62742,-113.41605,"5237 167 Ave NW, Edmonton, AB T5Y 0L2"
53.5588399,-113.55152,"111 Ave & Groat Rd, Edmonton, AB T5M 3L7"
53.51847,-113.5058,"10652 82 Ave NW, Edmonton, AB T6E 2A6"
53.5918,-113.46657,"13125B 82 St NW, Edmonton, AB T5E 2T4"
53.54587,-113.50158,"2-10507 104 Ave NW, Edmonton, AB T5J 0C2"
53.4942286,-113.517187,"5704 111 St NW, Edmonton, AB T6H 3G1"
53.5202819,-113.5781349,"8744 149 Street NW, Edmonton, AB T5R 1B6"
53.51739,-113.48564,"8127 99 St NW, Edmonton, AB T6E 3S9"
53.49714,-113.49819,"5904 104 St NW, Edmonton, AB T6H 2K3"
53.51973,-113.59537,"15810 87 Avenue NW, Edmonton, AB T5R 5W9"
53.45908,-113.43327,"6576 28 Ave NW, Edmonton, AB T6L 6N3"
53.49139,-113.44346,"5320 75 Street NW, Edmonton, AB T6E 6S4"
53.5408,-113.42554,"5824 Terrace Rd NW, Edmonton, AB T6A 0G8"
53.54968,-113.44881,"7830 106 Ave NW, Edmonton, AB T6A 1H5"
53.58829,-113.49231,"12926 97 St NW, Edmonton, AB T5E 4C3"
53.57105,-113.54907,"11843 St Albert Trail NW, Edmonton, AB T5L 5B5"
53.615,-113.51604,"15319 Castle Downs Rd NW, Edmonton, AB T5X 3Y7"
53.52158,-113.52044,"8511 112 St NW, Edmonton, AB T6G 2L7"
53.5970345,-113.3863749,"4-13508 Victoria Trail NW, Edmonton, AB T5A 5B9"
53.55731,-113.502,"10551 Kingsway NW, Edmonton, AB T5H 3W1"
53.4507,-113.48368,"2055 98 St NW, Edmonton, AB T6N 1K2"
53.60073,-113.44237,"13725 66 St NW, Edmonton, AB T5C 3E1"
53.59805,-113.57267,"13675 St Albert Trail NW, Edmonton, AB T5L 5E7"
53.5411,-113.50751,"10838 Jasper Ave NW, Edmonton, AB T5J 2B3"
53.59281,-113.53996,"12620D 132 Ave NW, Edmonton, AB T5L 3P9"
53.7140095,-113.1896518,"8900 114 St, Edmonton, AB T5H 3J6"
53.4748203,-113.3933247,"19-3919 34 St NW, Edmonton, AB T6T 1L5"
53.49893,-113.4863,"B114-6238 99 St NW, Edmonton, AB T6E 6C7"
53.48858,-113.46492,"9030 51 Ave NW, Edmonton, AB T6E 5X4"
53.46951,-113.58788,"12-752 Riverbend Sq NW, Edmonton, AB T6R 2E3"
53.54188,-113.61909,"17270 Stony Plain Rd NW, Edmonton, AB T5S 1K6"
53.55503,-113.61636,"10862 170th Street NW, Edmonton, AB T5S 2H7"
53.50502,-113.6189,"6921 172 St NW, Edmonton, AB T5T 5Y1"
53.54406,-113.49419,"10250 101 St NW, Edmonton, AB T5J 3P4"
53.47219,-113.48536,"3817 99 St NW, Edmonton, AB T6E 6J1"
53.6185143,-113.4911251,"101-15823 97 St NW, Edmonton, AB T5X 0C7"
53.53388,-113.62729,"202-17731 98A Ave NW, Edmonton, AB T5T 4W8"
53.5109985,-113.6772374,"2574 Guardian Rd NW, Edmonton, AB T5T 1K8"
53.59878,-113.40388,"13728 40th St NW, Edmonton, AB T5Y 3E5"
53.4265161,-113.4801843,"824 Parsons Rd, Edmonton, AB T6X 0B4"
53.54139,-113.49187,"102-10115 100A St, Edmonton, AB T5J 1R2"
53.58221,-113.57962,"15004 Yellowhead Trail NW, Edmonton, AB T5V 1A1"
53.5708399,-113.49845,"11822 103 St NW, Edmonton, AB T5G 2J3"
53.56952,-113.60992,"11748 167 St NW, Edmonton, AB T5M 3Z2"
53.6158801,-113.5414949,"15252 127 St NW, Edmonton, AB T6V 0C5"
53.4779467,-113.3691382,"3930 17 St NW, Edmonton, AB T6T 0C2"
53.53246,-113.61612,"9516 170 St NW, Edmonton, AB T5T 5R6"
53.54124,-113.5254,"11804 Jasper Ave NW, Edmonton, AB T5K 0N7"
53.54105,-113.49277,"C13-10060 Jasper Ave NW, Edmonton, AB T5J 3R8"
53.4538351,-113.5680228,"14257 23 Ave NW, Edmonton, AB T6R 3A8"
53.5409099,-113.6034,"66-10066 163 St NW, Edmonton, AB T5P 3N4"
53.52553,-113.61845,"17044 90th Avenue NW, Edmonton, AB T5T 6L6"
53.5436,-113.4983,"108-10310 102nd Avenue NW, Edmonton, AB T5J 2X6"
53.47303,-113.45084,"7627 38 Ave NW, Edmonton, AB T6K 3Y7"
53.4383176,-113.6190487,"1121 Windermere Way SW, Edmonton, AB T6W 2P3"
53.54624,-113.49037,"Edmonton, AB T5J 2G8"
53.4543557,-113.4342639,"322-2331 66 St NW, Edmonton, AB T6K 4B5"
53.4989954,-113.4184349,"6112 50th Street NW, Edmonton, AB T6B 2N7"
53.5243899,-113.66687,"814 Webber Greens Dr NW, Edmonton, AB T5T 4K5"
53.5463549,-113.5049675,"10700 104 Ave NW, Edmonton, AB T5J 4S2"
53.49231,-113.49167,"5433 Gateway Blvd NW, Edmonton, AB T6H 2H3"
53.5241566,-113.5206275,"9013 112 St NW, Edmonton, AB T6G 2C5"
